url,title,associated-university-institution-company,type,image,category-subject-area,certificate-is-available,description,duration,language,level,prerequisites,price,rating,syllabus,timestamp
https://www.coursera.org/specializations/game-design-and-development,Game Design and Development with Unity 2020 Specialization,Michigan State University,specializations,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~game-design-and-development/XDP~SPECIALIZATION!~game-design-and-development.jpeg,Software Development,Shareable Certificate,"Break into the video game industry with theoretical, technical, and practical knowledge from one of the world’s best programs.",Approximately 5 months to complete,English,Beginner Level,-,free,4.8,-,2022-07-30T00:00:36Z
https://www.coursera.org/specializations/interaction-design,Interaction Design Specialization,University of California San Diego,specializations,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~interaction-design/XDP~SPECIALIZATION!~interaction-design.jpeg,Design and Product,Shareable Certificate,"You will learn how to design technologies that bring people joy, rather than frustration. You'll learn how to generate design ideas, techniques for quickly prototyping them, and how to use prototypes to get feedback from other stakeholders like your teammates, clients, and users. You'll also learn principles of visual design, perception, and cognition that inform effective interaction design.",Approximately 10 months to complete,English,Intermediate Level,-,free,4.5,-,2022-07-30T00:00:36Z
https://www.coursera.org/specializations/uva-darden-digital-product-management,Digital Product Management Specialization,University of Virginia,specializations,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~uva-darden-digital-product-management/XDP~SPECIALIZATION!~uva-darden-digital-product-management.jpeg,Design and Product,Shareable Certificate,"This Specialization is intended for both current and new product managers working in digital who want to apply a portfolio of modern practices to developing their products and teams. Through five courses, you will cover applications of product design, hypothesis-driven development and agile, all at the heart of modern product management.",Approximately 5 months to complete,English,Beginner Level,-,free,4.8,-,2022-07-30T00:00:36Z
https://www.coursera.org/specializations/web-design,Web Design for Everybody: Basics of Web Development & Coding Specialization,University of Michigan,specializations,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~web-design/XDP~SPECIALIZATION!~web-design.jpeg,Mobile and Web Development,Shareable Certificate,"This Specialization covers how to write syntactically correct HTML5 and CSS3, and how to create interactive web experiences with JavaScript. Mastering this range of technologies will allow you to develop high quality web sites that, work seamlessly on mobile, tablet, and large screen browsers accessible. During the capstone you will develop a professional-quality web portfolio demonstrating your growth as a web developer and your knowledge of accessible web design. This will include your ability to design and implement a responsive site that utilizes tools to create a site that is accessible to a wide audience, including those with visual, audial, physical, and cognitive impairments.",Approximately 6 months to complete,English,Beginner Level,-,free,4.8,-,2022-07-30T00:01:22Z
https://www.coursera.org/professional-certificates/google-ux-design,Google UX Design Professional Certificate,Google,professional certificates,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~google-ux-design/XDP~SPECIALIZATION!~google-ux-design.jpeg,Design and Product,Shareable Certificate,"Prepare for a career in the high-growth field of UX design, no experience or degree required. With professional training designed by Google, get on the fast-track to a competitively paid job.",Approximately 6 months to complete,English,Beginner Level,-,free,4.8,-,2022-07-30T00:01:22Z
https://www.coursera.org/learn/foundations-user-experience-design,Foundations of User Experience (UX) Design,Google,course,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~foundations-user-experience-design/XDP~COURSE!~foundations-user-experience-design.jpeg,Design and Product,Shareable Certificate,"Foundations of User Experience (UX) Design is the first of a series of seven courses that will equip you with the skills needed to apply to entry-level jobs in user experience design. UX designers focus on the interactions that people have with products like websites, mobile apps, and physical objects. UX designers make those everyday interactions usable, enjoyable, and accessible. The role of an entry-level UX designer might include empathizing with users, defining their pain points, coming up with ideas for design solutions, creating wireframes, prototypes, and mockups, and testing designs to get feedback.",Approx. 18 hours to complete,English,Beginner Level,-,free,4.8,"Introducing user experience design ~.~ User experience (UX) designers focus on the experience that users have while using products like websites, apps, and physical objects. UX designers make those everyday interactions useful, enjoyable, and accessible. In the first part of this course, you'll be introduced to the world of UX and the factors that contribute to great user experience design. You'll understand the job of a UX designer and teams that UX designers often work with. You’ll also get to know more about the expectations of the Google UX Design Certificate. ~.~ SHOW ALL SYLLABUS ~.~ SHOW ALL ~.~ Thinking like a UX designer ~.~ UX designers always put the user first. In this part of the course, you'll be introduced to user-centered design and one of the design frameworks that UX designers use on the job. You'll also learn about design best practices, including the importance of inclusive design and accessibility when designing. In addition, you'll learn how to think across platforms to design seamless user experiences. ~.~ SHOW ALL SYLLABUS ~.~ SHOW ALL ~.~ Joining design sprints ~.~ UX designers often participate in design sprints to define the direction of a product. In this part of the course, you'll explore the world of design sprints, including the phases of a design sprint and how to plan and participate in one. You'll also learn about retrospectives, which is a way to constructively reflect on a design sprint and identify areas of improvement to implement next time. ~.~ SHOW ALL SYLLABUS ~.~ SHOW ALL ~.~ Integrating research into the design process ~.~ As a UX designer, it's your job to put the user front-and-center in everything you do. In this part of the course, you'll explore the role of research in the design process to help you better understand and empathize with users. You'll also learn about the benefits and drawbacks of common UX research methods. And, you'll identify and account for biases that can arise when conducting research. ~.~ SHOW ALL SYLLABUS ~.~ SHOW ALL",2022-07-30T00:01:22Z
https://www.coursera.org/professional-certificates/google-ux-design,Google UX Design Professional Certificate,Google,professional certificates,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~SPECIALIZATION!~google-ux-design/XDP~SPECIALIZATION!~google-ux-design.jpeg,Design and Product,Shareable Certificate,"Prepare for a career in the high-growth field of UX design, no experience or degree required. With professional training designed by Google, get on the fast-track to a competitively paid job.",Approximately 6 months to complete,English,Beginner Level,-,free,4.8,-,2022-07-30T00:02:16Z
https://www.coursera.org/learn/fundamentals-of-graphic-design,Fundamentals of Graphic Design,California Institute of the Arts,course,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~fundamentals-of-graphic-design/XDP~COURSE!~fundamentals-of-graphic-design.jpeg,Music and Art,Shareable Certificate,"Graphic Design is all around us! Words and pictures—the building blocks of graphic design—are the elements that carry the majority of the content in both the digital world and the printed world. As graphic design becomes more visible and prevalent in our lives, graphic design as a practice becomes more important in our culture.",Approx. 15 hours to complete,English,Beginner Level,-,free,4.8,"Week 1: Fundamentals of Imagemaking ~.~ This week we are going to look at how images function in terms of conveying denotative and connotative messages, I'll show you a range of analog and digital imagemaking techniques and discuss how they work. In the first peer review assignment you'll create your own series of images, experimenting with formal techniques. Later, you'll have the opportunity to rework those images to enhance their ability to communicate an idea through connotation in an optional assignment: give it a try, it'll help you develop your communication skills as well as your formal skills! ~.~ SHOW ALL SYLLABUS ~.~ SHOW ALL ~.~ Week 2: Fundamentals of Typography ~.~ This week we are going to look at typographic terminology and the basic rules for creating typography. I'll show you a range of tips and techniques for working with type, in both a functional and expressive manner, and you'll find out about the process involved in making and controlling typography. This week you'll complete a quiz to make sure you understand the language of typography–this is required. I also highly recommend you complete the two optional peer review assignments. In the first assignment you'll create your own typographic monogram, and you'll use that as a central element in designing a typographic business card in the second assignment. Give them a try, they are the place where you can demonstrate and apply your formal skills, and the place where you get to play with type! ~.~ SHOW ALL SYLLABUS ~.~ SHOW ALL ~.~ Week 3: Fundamentals of Shape and Color ~.~ This week we are going to look at how designers work with shape and color as their fundamental building blocks. You'll learn about visual contrast, color, rhythm and pattern in design. I'll be showing you the process involved in making an abstract design from shapes, and how to use that element to create a repeating pattern design. You'll be completing a quiz (required!) to make sure you understand how visual contrast and color work, and I also highly recommend you complete the two optional peer review assignments. In the first assignment you'll create your own simple and complex design motifs, and you'll use them as the central elements in designing a repeating pattern in the second assignment. The assignments are optional, but they are the place where you get to demonstrate and apply your formal skills, so well worth taking the extra time to complete! ~.~ SHOW ALL SYLLABUS ~.~ SHOW ALL ~.~ Continuing your graphic design studies ~.~ In this section we've provided some useful resources for students wishing to further their studies in graphic design. The information was authored by Calvin Rye, MFA alumnus of the Graphic Design program at CalArts in consultation with CalArts' Graphic Design faculty and our Office of Admissions. In addition to some advice about selecting the right program of study, we've also included some tips for creating and presenting a strong, organized portfolio and writing your artist statement. These are essential components of any application to a graphic design program, as well as a freelance graphic designer's toolkit. Regardless if you are applying to schools or looking for work in the field, we hope you find these tips and resources useful to your goals. ~.~ SHOW ALL SYLLABUS ~.~ SHOW ALL",2022-07-30T00:02:16Z
https://www.coursera.org/learn/html-css-javascript-for-web-developers,"HTML, CSS, and Javascript for Web Developers",-,course,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~html-css-javascript-for-web-developers/XDP~COURSE!~html-css-javascript-for-web-developers.jpeg,Mobile and Web Development,Shareable Certificate,"Do you realize that the only functionality of a web application that the user directly interacts with is through the web page? Implement it poorly and, to the user, the server-side becomes irrelevant! Today’s user expects a lot out of the web page: it has to load fast, expose the desired service, and be comfortable to view on all devices: from a desktop computers to tablets and mobile phones.",Approx. 40 hours to complete,English,-,-,free,4.7,"Introduction to HTML5 ~.~ In this module we will learn the basics of HTML5. We'll start with instructional videos on how to set up your development environment, go over HTML5 basics like valid document structure, which elements can be included inside other elements and which can not, discuss the meaning and usefulness of HTML5 semantic tags, and go over essential HTML5 tags. ~.~ Introduction to CSS3 ~.~ A lot of people ""tinker"" with CSS. In this module, we'll take you from the very basics of CSS3 to some fairly advanced concepts like floating and CSS rule conflict resolution. We'll go over the 'box model', background property, etc. We'll finish off the module with learning about Responsive Design using our own CSS code as well as start introducing Twitter Bootstrap with its essential Grid System. ~.~ SHOW ALL SYLLABUS ~.~ SHOW ALL ~.~ Coding the Static Restaurant Site ~.~ Ready for some REAL fun? This module is it! We'll go over some basics of interacting with a client when managing a web site project and then go visit a real client at their place of business (a Chinese restaurant), help the owner figure out what she wants in a site, and get acquainted with the restaurant in general. We'll spend the rest of the module building a real web site for this business from scratch and you'll get to sit next to me and watch as the site comes together. ~.~ SHOW ALL SYLLABUS ~.~ SHOW ALL ~.~ Introduction to Javascript ~.~ What fun would a web site be if there was no functionality to it? In this module, we are going to concentrate on learning the fundamentals of the Javascript language. A lot of even seasoned developers “tinker” with Javascript without really understanding how the language works. That leads to viewing the language as more of a nuisance instead of a powerful tool. That is why we are going to concentrate not only on the “how” but also on the “why”, so you are empowered by the Javascript language features, not confused by them. We’ll cover just about everything - from common language constructs and Javascript types to objects, functions, arrays, closures, and scope isolation. ~.~ SHOW ALL SYLLABUS ~.~ SHOW ALL ~.~ Using Javascript to Build Web Applications ~.~ In this module, we are going to take all those newly learned Javascript language skills and learn how to utilize them within the context of a web page. We’ll start by learning how to properly manipulate the web page components using the Javascript Document Object Model API. We will then move on to learning one of the most popular ways of serving up data to a web site - Ajax. We'll learn about the protocol that the language of the web speaks in (HTTP), how to set up and handle Ajax requests and responses, as well as how to process JSON data. We'll finish the module by connecting our restaurant web site from Module 3 to a real backend service that will allow us to pull the data for the restaurant menu dynamically from the server without having to reload the entire page.",2022-07-30T00:02:16Z
https://www.coursera.org/learn/uva-darden-agile-analytics,Agile Analytics,University of Virginia,course,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~uva-darden-agile-analytics/XDP~COURSE!~uva-darden-agile-analytics.jpeg,Design and Product,Shareable Certificate,"Few capabilities focus agile like a strong analytics program. Such a program determines where a team should focus from one agile iteration (sprint) to the next. Successful analytics are rarely hard to understand and are often startling in their clarity. In this course, developed at the Darden School of Business at the University of Virginia, you'll learn how to build a strong analytics infrastructure for your team, integrating it with the core of your drive to value.",Approx. 15 hours to complete,English,Beginner Level,-,free,4.7,"Introduction and Customer Analytics ~.~ Without an actionable view of who your customer is and what problems/jobs/habits they have, you’re operating on a shaky foundation. This week, we’ll look at how to pair your qualitative analytics on customer hypotheses with testable analytics. ~.~ Demand Analytics ~.~ Why build something no one wants? It seems like an obvious question, yet a lot (probably >50%) of software ends up lightly used or not used at all. This week, we’ll look at how to run fast but definitive experiments to test demand. ~.~ UX Analytics ~.~ Strong usability most often comes from ongoing diligence as opposed to big redesigns. Teams that do the hard work of consistently testing usability are rewarded with a consistent stream of customer wins and a culture of experimentation that makes work more enjoyable and rewarding. ~.~ Analytics and Data Science ~.~ The availability of big data and the ascendance of machine learning can supercharge the way you approach analytics. This week, we're going to learn how data science is changing analytics and how you can create a focused, productive interfaces to a data science capability.",2022-07-30T00:02:59Z
